Property Name,Data Type,Description
allowPeerOrMarshalReporting,BOOLEAN,-
enablePriorityWiseAutoSlotAllocate,BOOLEAN,Assigns slots based on priority order defined by display order value.
userResourceGroupMappingEnabled,BOOLEAN,Indicates whether resource group mapping is enabled for office visibility.
showCanceledCountinAttendanceChart,BOOLEAN,Controls visibility of cancelled count in attendance charts.
officeCheckInModeWeb,STRING,Configures office check-in mode for web.
seatBeltNonFunctioningIssues,LIST,-
officeCheckInMode,STRING,Configures office check-in mode for mobile.
roomEmailIdEmailMessage,JSON,Defines meeting room email message templates.
rbacDeskAllocationEnabled,BOOLEAN,Enables RBAC-based desk allocation.
REQUIRE_APPROVAL_FOR_OPT_OUT,LIST,-
crossTeamAllocationEnabled,BOOLEAN,Allows cross-team desk and employee allocation.
BOOKING_AGGREGATES_MIGRATION_TIMEZONES,LIST,-
OPT_IN_APPROVAL_FLOW_ENABLED,BOOLEAN,OPT_IN_APPROVAL_FLOW_ENABLED
adminAssignmentFloorPlanUrl,STRING,Defines Admin Seat Allocation Floor Plan URL.
showMeetingRoomOnApp,BOOLEAN,Enables Meeting Room booking option on mobile app.
showSeatSearchOnSeatBooking,BOOLEAN,Enables desk search by desk number.
enableTeamAsResource,BOOLEAN,Creates resource entry for newly created teams.
isTripRatingMandatory,BOOLEAN,Controls trip rating requirement.
mealPlanningEnabled,BOOLEAN,Enables meal booking via Work Planner.
maxTripLevelNonComplianceEventsAllowed,INTEGER,-
seatBeltUndoTimeoutMinutes,INTEGER,-
smsTrackingEnabled,BOOLEAN,-
bookingCreationMessage,STRING,Defines booking success message.
hideScheduleButtonFromFab,BOOLEAN,-
CITY_DISTRICT_MAPPINGS,JSON,-
enableMealDayWiseAvailability,BOOLEAN,Allows admin to configure meal availability per day.
gatepassExpiryMinutes,INTEGER,Defines DigiPass expiry duration after booking start.
USER_CLOCK_OUT_REMAINDER_MINUTES,INTEGER,-
autoPopulateSchedulingForm,BOOLEAN,autoPopulateSchedulingForm
