Client Name,Indegene Global,Ops Study Doc,,,,,
Implementation Rep,Anurag Yaparla,,,,,,
No of users:,6000.0,,,,,,
Decision Maker (contact number),jaisriram.krishnan@indegene.com (9449695616),,,,,,
POC contact number,adoni.mohan@indegene.com (8884100415),,,,,,
Their Organization Workflow,Desk Management + VMS + Meeting Room + Parking,,,,,,
Key Pain Areas from previous system,,,,,,,
Data migration,Yes,,,,,,
Promises/enhancements on features promised in demo,"CAP-1902 - ""Active Bookings"" – Weekly Limit Configuration",,,,,,
Timelines to setup & Go-Live,(3/4 Weeks),,,,,,
,,,,`,,,
,,,,,,,
Level 1,Level 2,Level 3,Status,Reason if not required,Comments if any,"Path (JIRA Ticket, Config Value etc)",
Integrations,Employee onboarding,SCIM,Completed,,,,
,SSO Integration,Integrations and validation,Completed,,,,
,Access card integration,"Gallagher,Speedgates etc",Not required,,,,
,Sign-In preference,Direct check-in,Completed,,,,
,,Attendance Tracking,Completed,,,,
,,,,,,,
,,,,,,,
,VMS Integrations,Visitor Management,Completed,Awaiting Feedback,,,
,,Self Checkin & Invite,Completed,,,,
,,,Completed,,,,
,Meeting Rooms Integrations,Outlook Addin for meeting rooms,Completed,Outlook integrated setup,,,
,,G-Suite,No,,,,
,,Native,No,,,,
,,Amenities,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Desk Management,Floor Plan PDF,Completed,,,,
,,Nomenclature/Seat Numbering,Completed,,,,
,,Office and Floor Name,Completed,,,,
,,Wayfinding Deployment,Completed,,,,
,,Geo Restrictions,Completed,,,,
,,Geocode,Completed,,,,
,,Shifts Creation,Completed,,,,
,,Shift Categories,Not required,,,,
,,Shift Refreshment SE,Completed,,,,
,,Desk Allocation,Completed,,,,
,,Remote Bookings,Not required,,,,
,,,,,,,
,,,,,,,
,(Global and organizational settings),,Completed,,,,
General Setup,,Company logo configuration,Completed,,,,
,,Users & Roles Creation along with mobile access,Completed,,,,
,,Hierarchy & Team Creation,Completed,,,,
,,Global Booking Policies,Completed,,,,
,,Schedule Edit Cutoff,Completed,,,,
,,Schedule Cancel Cutoff,Completed,,,,
,,Booking Logout Cutoff,Completed,,,,
,,Booking Edit Cutoff,Completed,,,,
,,No Show Policy,Not required,,,,
,,Desk Auto Release,Completed,REMOVE_SEAT,,,
,,Auto Absent,Completed,,,,
,,Auto Absent Timing,Completed,2 hours,,,
,,Recurring Bookings in Days (30 or 90),Completed,30.0,,,
,,Advance Booking Restriction (30 Days Advance),Completed,30.0,,,
,,Active booking limit,Completed,Seto to 10 Active bookings,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Template Customization,,,,,,
,,,,,,,
Please configure the below to drive usage of the account as per the flow of the account:,Reports,,Completed,,,,
,Other Features:,,Not required,Might request metabase dashboard at a later stage,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Trainings:,,,Completed,,,,
,Desk Management Best Practices (Admin),,,,,,
,,Primary Method of Allocation,Completed,,,,
,,Editing Allocation,Completed,,,,
,,Time Based Allocation,Not required,,,,
,,Desk Tags,Not required,,,,
,,Bulk Uploads(Specify which ones),Completed,Desk Bookings & allocation,,,
,,,,,,,
,,,,,,,
,Parking  Management Best Practices (Admin),Allocation,Completed,,,,
,,Audit History,Completed,,,,
,,,,,,,
,,,,,,,
,Booking Best Practices (User),,,,,,
,,Search for Employee,Yes,,,,
,,Wayfinding,Not required,,,,
Data Migration,,,Not required,,,,
,Migration Confirmation from Client,,Not required,,,,
,,,,,,,
,,,,,,,
Email templates:,,,Completed,,,,
,Q&A 1,,Completed,,,,
,Q&A 2,,Completed,,,,
,,,,,,,
Important points to be noted while handing over the client to customer success team:,,,Meeting room is present in contract but later client did not want to go with neither native nor integrated setup,,,,
,,,,,,,
Issues provided by the client from the time of implementation to hand-over,,,"Only common issue: employee unable to login due to no OTP received: Resolution-> They need to add the user to their azure directory's workinsync sso group, which will automatically create the profile in the next sync.",,,,
Requirements provided while onboarding (mark in green if this requirement is completed. If not red if not completed/cannot implement it and yelllow if pending/taken as requirement),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
