Service: EMPLOYEE-EXPERIENCE-COMMON-CONFIG,
Total properties: 305,
,
Property Name,Description
teamCalendarEnabled,Enables Team Calendar feature.
adminAssignmentFloorPlanUrl,Defines Admin Seat Allocation Floor Plan URL.
enableWaitlistBooking,Enables waitlist functionality in parking bookings.
hierarchy,Defines organizational hierarchy levels.
enableJoinAllWaitlist,Allows joining waitlists across all parking levels.
showMealPaymentCTA,Enables meal payment CTA integrated with payment gateways.
waitListBookingBufferTimeInMin,Defines buffer time in minutes for waitlist bookings.
employeeFloorPlanUrl,Defines Employee Floor Plan URL.
welcomeEmailEnabled,Controls sending of welcome emails.
autoSlotAllocate,Automatically allocates parking slots without manual slot selection.
enableProjectCodeFor,Enables Project Code field for specified booking types.
restrictMultipleVisitorBookingCheckIn,Restricts multiple visitor booking check-ins.
enableColorInParkingVehicleCreation,Adds vehicle color input field in parking vehicle creation.
TIME_FORMAT,Defines time format for UI.
remoteSignCutoffInMinute,Defines cutoff time for contactless bus solution sign-in.
enablePerpetualDigipassForAllUsers,Allows DigiPass generation without office booking.
restrictMealScanToOne,Restricts meal QR scanning to once per meal window.
enableGeofenceCheckForCheckin,Enforces check-in validation within defined geofence limits.
cutoffTimeForSkipWISAppFeedback,Defines interval in hours for app feedback display frequency.
autoClockOutRemainderMinutes,Defines minutes before logout when reminder notification is triggered.
showSeatSearchOnAdminPages,Enables desk search on admin floor plan pages.
isCalendarInviteEnabled,Enables calendar invite option.
showParking,Controls parking field visibility in Teams chatbot.
empID,Controls whether the Employee ID field is shown or hidden during employee profile validation.
showMeetingRoomOnApp,Enables Meeting Room booking option on mobile app.
bookingEnabledOnTag,Enables booking based on tags.
contactTHDReasons,
meetingRoomKioskUrl,Defines Meeting Room Kiosk URL.
cacheTimeInHoursOfAarogyaSetuUserStatus,Defines Aarogya Setu status cache duration.
seatBooking,Defines primary Seat Booking application URL.
showSanitizationDetails,Displays sanitization details in the app.
parkingStartCutOffInMinute,Defines minutes before booking start when parking QR can be generated.
INDEMNIFICATION_REASONS,Defines available indemnification reasons.
approvalFlowEnabled,Enables Team Manager approval dashboard.
showRegistrationNumberInputFieldForParking,Displays vehicle registration number input field during parking booking.
showWorkinsyncLogoOnSideNav,Controls WorkInSync logo visibility on sidenav.
allowBookingConversionFromWfhToWfo,Enables direct WFH to WFO booking conversion.
projectCodeMandatoryFor,Makes Project Code field mandatory for specified booking types.
airtelBuid,
isShuttleRequired,Replaces cab labels and icons with shuttle terminology across modules.
showEmployeeSearchOnSeatBooking,Enables colleague search by name.
APPROVAL_POST_NO_SHOW_CHECK_BUFFER,
enableSafeReachWisList,Defines environments where Safe Reach is enabled.
autoClockOutRemainder,Sends reminder notification before auto-checkout triggers.
preferencesFloorPlanUrl,Defines Preferences floor plan URL.
autoProvisionEnabled,Automatically marks all employees as onboarded during bulk onboarding.
bookingRuleEngine,Defines Booking Rule Engine URL.
enableMealCartView,Activates meal cart and payment flow when enabled with showMealPaymentCTA.
isReportingAndAnalyticEnable,
commuteMandatory,Requires users to select either parking or transport while creating an office booking to prevent resource-less bookings.
allowEmployeeToBooKAnySeatInBL,Allows employees to book seats within permitted hierarchy levels in BL.
commentsMandatoryOnRating,
enableEmployeePreferences,Enables employee preference settings on web.
isCheckinNotificationEnabled,Enables notification after successful check-in.
showWomenSafetyInSideMenu,Displays Women Safety Handbook in mobile side menu.
mealPlanningMandatory,Makes meal selection mandatory in office booking form.
floorManagement,Defines Floor Management URL.
showMealCountOnBookingForm,Displays real-time meal availability count on booking form.
email,Controls whether the Email field is shown or hidden during employee profile validation.
showVaccinationOptionInSideMenu,Enables Vaccination status option in the app side menu.
adminFloorPlanUrl,Defines Admin Floor Plan URL.
enableBookingEmail,Enables booking details email notification.
CutOffTimeBetweenBookingsOnSeatInMinute,Defines minimum gap between consecutive bookings on the same seat.
sanitisationFloorPlanUrl,
enabledCheckInEmailBodyParam,Defines enabled parameters in check-in email body.
onBehalfBookingEmailToCreatorEnabled,Controls on-behalf booking email notification to creator.
enableNewAllocationFlow,Enables new allocation flow required for time-based allocation.
nodal,Controls whether the Nodal Point field is shown or hidden during employee profile validation
allowBookingForOthers,Defines booking types allowed for others.
qRScannerEndCutOffInMinute,Defines minutes after booking start when Scan QR becomes inactive.
onlyParkingBookingEnabled,Displays only the Parking booking option on Employee Home and FAB for clients using MoveInSync exclusively for parking.
lastSwipeAsCheckoutTimeForBUID,Uses the last swipe checkout time as final checkout instead of auto-checkout for access card integration clients.
vaccinationBookingUrl,URL for the vaccination booking feature in the app.
ENABLE_CHECKIN_NOTIFICATION,Master switch to enable check-in notifications.
blockNumber,Controls Block number field visibility.
parkingMailNotificationMinutes,Defines parking email trigger minutes.
consentPopupData,Defines consent popup configuration.
blockGenerateDigiPassOnSeatMandatory,Blocks DigiPass generation when seat is mandatory.
womenSafetyDocUrl,Controls URL of Women Safety Handbook document.
showOfficeInfoOnBookingForm,Displays searchable office address list during booking.
enableCarbonFootprintTrackingInParking,Tracks and displays carbon footprint for employee commutes.
enableGridFloorPlan,Enables grid-based parking floor plan.
blockOfficeCheckingIfNoBooking,Blocks office check-in without booking.
EnableNewEmailTemplate,Enables new email template format.
averageOverallTripFeedbackCalculation,
enableSafeReachForBookingTypes,Defines booking types eligible for Safe Reach.
mobileNumberLength,Defines required mobile number length.
enforceReAuthenticationDurationInMinutes,Defines re-authentication validity duration in minutes.
landmark,Controls visibility of Landmark field during registration.
multipleBookingsOnASeatInADayAllowed,Allows multiple bookings on the same seat within a single day.
recurrenceBookingEnabled,Enables recurring booking feature.
showBookingHistory,Enables booking history on app.
multipleScanErrorMessage,Defines error message for multiple scans.
checkinReminderCutoffInMinute,Defines when check-in reminder notification is sent.
