Property Name,Data Type,Description,Services,Service Count
<p>Iagreethatalldetailssharedbymearecorrect</p>,STRING,-,VMS,1
absoluteVisitDurationHours,LIST,This is list of option for time duration selection in vms kiosk in min,VMS,1
ACCESS_MATRIX_ENABLED_BUIDS,LIST,Defines BUs with access matrix enabled.,Emp Exp Common Config,1
ACCESS_TOKEN_EXPIRY_IN_SECONDS,INTEGER,-,"App Server Config, App Server Config (.in)",2
active-bu,STRING,-,PMS,1
AD_HOC_MEETING,INTEGER,Enables auto check-in for room bookings within this defined window - this value is set in minutes.,Meeting Rooms,1
addCustomFieldsForBulkUpload,BOOLEAN,Determines whether custom fields are included in bulk upload header.,VMS,1
addCustomFieldsWithVisitorBulkUpload,BOOLEAN,Adds custom fields to visitor bulk upload headers.,VMS,1
ADDRESS_CHANGE_HOME_TO_OFFICE_DISTANCE_VALIDATION,STRING,-,Emp Exp Common Config,1
ADDRESS_CHANGE_RADIAL_DISTANCE_VALIDATION,STRING,-,Emp Exp Common Config,1
ADDRESS_CHANGE_RESTRICTED_AREA_VALIDATION,STRING,-,Emp Exp Common Config,1
ADDRESS_CHANGE_TRANSPORT_BOUNDARY_VALIDATION,STRING,-,Emp Exp Common Config,1
addRoomWithVisitorBulkUpload,BOOLEAN,Adds room details to visitor bulk upload headers.,VMS,1
ADHOC_BOOKINGS_BOTTOM_SHEET_DESCRIPTION,STRING,-,"App Server Config, App Server Config (.in)",2
admin,LIST,Configures Admin role access.,PMS,1
ADMIN_FRONT_DESK,BOOLEAN,Enables Visitor Management for Admin Front Desk.,PMS,1
adminAssignmentFloorPlanUrl,STRING,Defines Admin Seat Allocation Floor Plan URL.,Emp Exp Common Config,1
adminexpUI,STRING,Defines Admin Experience UI URL.,Emp Exp Common Config,1
adminexpUi,STRING,Defines alternate Admin UI URL.,Emp Exp Common Config,1
adminFloorPlanUrl,STRING,Defines Admin Floor Plan URL.,Emp Exp Common Config,1
advanceBooking,BOOLEAN,-,Booking Rule Engine,1
advanceBookingLimitInMinutes,INTEGER,Controls the window of advance booking for users to make room bookings,Meeting Rooms,1
airtelBuid,STRING,-,Emp Exp Common Config,1
allocationChangeCommunicationEnabled,BOOLEAN,-,Booking Rule Engine,1
allowBookingAfterSignOut,BOOLEAN,-,Booking Rule Engine,1
allowBookingConversionFromWfhToWfo,BOOLEAN,Enables direct WFH to WFO booking conversion.,Emp Exp Common Config,1
allowBookingConversionFromWfoToWfh,BOOLEAN,Enables direct WFO to WFH booking conversion.,Emp Exp Common Config,1
allowBookingForOthers,LIST,Defines booking types allowed for others.,Emp Exp Common Config,1
allowBookingsForOthers,BOOLEAN,Allows booking on behalf of others in visitor flow.,VMS,1
allowBookingWithDedicatedSeat,LIST,Controls whether dedicated seat holders can book other desks.,Emp Exp Common Config,1
allowCheckInAtIncorrectSlot,BOOLEAN,Allows check-in outside booked slot.,Emp Exp Common Config,1
allowedBookingForContainmentZone,BOOLEAN,-,Booking Rule Engine,1
allowedEmployeeNameRegex,STRING,Defines the allowed employee name format using regex validation.,Emp Exp Common Config,1
allowedMealBookingPerEmployee,INTEGER,Decides how many separate meal bookings the system should allow per user per day.,Booking Rule Engine,1
allowEmployeeToBooKAnySeatInB,BOOLEAN,-,Emp Exp Internal Config,1
allowEmployeeToBooKAnySeatInBL,BOOLEAN,Allows employees to book seats within permitted hierarchy levels in BL.,Emp Exp Common Config,1
allowOfficeCheckInWithoutDesk,BOOLEAN,Controls the separate checkin for office and desk checkin.,Booking Rule Engine,1
allowPastAllocationTimesForCurrentDayFor,LIST,Allows admins to allocate desks/slots/rooms for past shift times on the same day.,Emp Exp Common Config,1
allowPeerOrMarshalReporting,BOOLEAN,-,Emp Exp Common Config,1
allowQrCheckInWithoutSeat,BOOLEAN,Allows QR check-in without seat.,Emp Exp Common Config,1
allowRoomBookingWithOfficeBooking,BOOLEAN,Controls visibility of Room booking option on Employee Home.,Emp Exp Common Config,1
amenitiesBulkUpload,BOOLEAN,Enables bulk upload flow for amenities,WIS Seat Booking,1
Analytics,LIST,Enables the Reporting page.,PMS,1
ANALYTICS,LIST,Enables the Reports page in the sidenav.,PMS,1
APP_FEEDBACK_EXPRESSIONS,LIST,-,"App Server Config, App Server Config (.in)",2
APP_GRAND_LAUNCH_CONTENT,LIST,This property defines the context displayed to the user when grand launch is enabled,"App Server Config, App Server Config (.in)",2
APP_UPDATE_CONTENT,JSON,This property is used to define the content that will be displayed to the user once he click on app update,"App Server Config, App Server Config (.in)",2
APPROVAL_POST_NO_SHOW_CHECK_BUFFER,DOUBLE,-,Emp Exp Common Config,1
approvalFlowEmailExpiryTimeInMinutes,INTEGER,Defines approval email expiry time in minutes.,VMS,1
approvalFlowEnabled,BOOLEAN,Enables Team Manager approval dashboard.,"Booking Rule Engine, Emp Exp Common Config",2
approvalFlowInInWfhEnabled,BOOLEAN,Controls whether the approval workflow is enabled for Work From Home bookings.,"Booking Rule Engine, Emp Exp Common Config, WIS Seat Booking",3
approvalFlowInWfoEnabled,BOOLEAN,Controls whether the approval workflow is enabled for Work From Office bookings.,"Booking Rule Engine, Emp Exp Common Config, WIS Seat Booking",3
approvalWebViewUrl,STRING,Defines approval web view URL.,Emp Exp Common Config,1
approvedRequestNotificationEnabled,BOOLEAN,Controls whether notifications are sent for approved booking approval requests.,"Booking Rule Engine, WIS Seat Booking",2
approveEntryFromFrontdesk,BOOLEAN,Allows visitor approval or rejection from Front Desk.,VMS,1
