Property Name,Data Type,Description
checkinBufferFromKiosk,INTEGER,Defines buffer time (in minutes) for active booking check-in via kiosk.
enableBlacklistVisitorProfiles,BOOLEAN,Enables visitor blacklist feature.
blacklistKioskPopup,JSON,Defines heading and subheading for blacklist popup on kiosk.
enableEmployeeEmailNotification,BOOLEAN,Enables check-in notifications to employees.
sendHostEmailsToDelegate,BOOLEAN,Sends all host-triggered emails to the delegate as well.
employeeCheckinMsTeamsTemplateAdmin,JSON,Defines MS Teams template for admin employee check-in notifications.
triggerExternalEmails,LIST,Triggers emails to designated roles such as Global Admin.
visitor_wifi_name,STRING,Stores client Wi-Fi name.
KioskSafeReachInterval,LIST,Defines Safe Reach interval (in minutes) for VMS kiosk.
employeeCheckinMsTeamsTemplateCreator,JSON,Defines MS Teams template for employee self check-in notifications.
safeReachSecurityTeamContacts,LIST,Defines security contacts for Safe Reach Level 1 escalation.
safeReachManualVerificationTrigger,INTEGER,Defines timeout for Safe Reach Level 2 escalation.
safeReachFailedVerificationTrigger,INTEGER,Defines trigger conditions for Safe Reach escalation email.
enableSelfRegistrationOnKiosk,BOOLEAN,Enables employee self-registration on kiosk.
digipass,LIST,Controls DigiPass visibility across email and badge channels.
visitorNotifications,JSON,Controls visitor notifications.
employeeFaceOnboardingForRecognition,BOOLEAN,Onboards employee photos into face recognition service.
approveEntryFromFrontdesk,BOOLEAN,Allows visitor approval or rejection from Front Desk.
entryApprovalFromFrontdesk,BOOLEAN,Not in use.
enableConsentCheckboxSafeReach,BOOLEAN,Enables additional consent checkbox in Safe Reach form.
allowBookingsForOthers,BOOLEAN,Allows booking on behalf of others in visitor flow.
front_desk_configurations,JSON,Defines core functionalities visible on Front Desk.
SafeReachVmsTimeInMin,INTEGER,Defines Safe Reach trigger time in minutes.
triggerListForLandlords,JSON,Defines external stakeholder email trigger list.
enableSignatureForConsentSafeReach,BOOLEAN,Requires signature-based consent in Safe Reach form.
visitorCheckinMsTeamsHeaderTemplate,STRING,Defines salutation header for MS Teams visitor check-in notification.
consentCheckboxContentSafeReach,STRING,Defines consent checkbox content for Safe Reach kiosk.
vmsQrCodeTrigger,LIST,Controls sending DigiPass and checkout QR via SMS or email.
floorKioskAllowOfficeCheckin,LIST,New property for controlling office check-in via Floor Kiosk.
visitorCheckinMsTeamsBodyTemplate,STRING,Defines body template for MS Teams visitor check-in notification.
visitorBulkUploadData,JSON,Defines headers and data rules for visitor bulk upload; must comply with profileFieldsMetaData.
isEmployeeFlowEnabled,BOOLEAN,Enables employee check-in flow on kiosk.
<p>Iagreethatalldetailssharedbymearecorrect</p>,STRING,-
triggerSafeReachForFemaleOnly,BOOLEAN,Triggers Safe Reach for female visitors only.
floorKioskConfigs,JSON,Defines Floor Kiosk configurations in Settings.
enableEmployeeMSTeamNotification,BOOLEAN,Enables MS Teams notifications for employee check-in flow.
inviteFormDefaultOfficeSelection,BOOLEAN,Defines default office selection in Invite Visitor form.
externalEmployeeList,LIST,Stores external stakeholder email and name details.
kioskInviteOptions,LIST,Controls QR-based check-in and check-out options on kiosk.
approvalFlowEmailExpiryTimeInMinutes,INTEGER,Defines approval email expiry time in minutes.
walkInEnabled,BOOLEAN,Not in use.
otpApprovalFlow,BOOLEAN,Not in use.
enableWalkInEmail,BOOLEAN,Not in use.
showBelongings,BOOLEAN,Not in use.
identification,BOOLEAN,Allows enablement of identification on front desk
entryTimeInLimit,INTEGER,Defines buffer time for entry in the 2-step check-in/checkout process.
tempEntryTimeLimit,INTEGER,Defines buffer time for entry after temporary checkout in the 2-step check-in/checkout process.
isTemporaryCheckoutEnabled,BOOLEAN,Enables temporary checkout option on Front Desk.
is2StepCheckInEnabled,BOOLEAN,Enables 2-step check-in and check-out process.
GUEST_BULK_UPLOAD,BOOLEAN,Enables bulk upload option for visitors.
visitorSelfCheckOutDigiPass,BOOLEAN,Not in use.
enableVisitorParking,BOOLEAN,Enables parking for visitors (currently not in use).
Visitor_Document_Storage,BOOLEAN,Enables visitor document storage configuration.
Visitor_Document_Storage_Duration,INTEGER,Defines retention period (in days) for visitor data storage.
Visitor_Document_Storage_Document_Type,LIST,Defines document types applicable for visitor data storage.
visitorProfilePhotoUpload,BOOLEAN,Controls whether profile photo is mandatory in invited flow.
enableDynamicFields,BOOLEAN,Not in use.
VISITOR_PROFILE_ID,BOOLEAN,Controls whether visitor identity proof upload is required.
selfCheckinSuccessMessage,STRING,Defines success message displayed after visitor self check-in.
enableCalendarInvite,BOOLEAN,Creates calendar event in host email upon invite creation.
defaultKioskBookingDurationInMinutes,INTEGER,Defines fixed visit duration for each visitor check-in.
defaultInviteTitle,STRING,Defines default title for Invite Form.
showDefaultInviteTitle,BOOLEAN,Enables default invite title on Invite Visitor page.
visitorApprovalMsTeamsNotification,BOOLEAN,Controls visitor approval notification on MS Teams.
formsMetaDataForHost,JSON,Controls host-side custom fields in invited flow.
formsMetaDataForVisitor,JSON,Controls visitor-side custom fields in invited flow.
ndaCheckbox,BOOLEAN,Controls NDA checkbox visibility.
visitorCheckinMsTeamsTemplate,JSON,Defines visitor check-in email template.
externalEmailIdsMapToTriggerOnVisitorCheckin,JSON,Not in use.
IsGuestWifiEnabled,BOOLEAN,Enables or disables Guest Wi-Fi.
overstayTriggerList,LIST,Defines channels (MS Teams/Email) for overstay alerts.
checkoutPageRedirectionTimeout,INTEGER,Defines redirection timeout (in minutes) after self check-in completion.
configureVisitorKiosk,BOOLEAN,Controls visibility of Configure Visitor Kiosk button on Front Desk.
overStayAlertBuffer,INTEGER,Defines buffer time (in minutes) after end time to trigger overstay alerts.
visitorProfileFields,JSON,Controls visitor profile fields for Walk-in flow.
enableNoninteractiveVisitorInvite,BOOLEAN,Enables non-interactive email notifications.
kioskRequireOTPBeforeRegister,BOOLEAN,Enables OTP validation before kiosk employee registration.
isVisitorPhotoCaptureEnabled,LIST,Controls whether photo capture is required during self check-in.
kioskEmployeeRegistrationFields,JSON,Controls fields displayed in kiosk employee self-registration form.
preFillVisitorPhotoForExistingVisitor,BOOLEAN,Allows pre-filling of visitor photo for existing visitors.
sendVisitorInviteEmail,BOOLEAN,DTO key for sending visitor invite emails.
enablePrintBadgeForInviteFlow,BOOLEAN,Enables badge printing for visitors via Invite flow.
visitDurationHours,INTEGER,Defines dropdown options for visit duration.
sendInviteEmail,JSON,"Defines default state of visitor, host, and creator email checkboxes."
isEditEndTimeOnFrontDeskEnabled,BOOLEAN,Enables editing of invite end time on Front Desk.
GUEST_POLICY_HEADER,STRING,Adds a customizable guest policy header.
