Service: GUARD-APP,
Total properties: 29,
,
Property Name,Description
isTemperatureScanEnabled,Enables the temperature scan feature.
guardAppCutOffTime,Defines the cutoff time for guard application actions such as entry validation.
isAutoEntryAllowed,Automatically switches to the next DigiPass scan mode after the first scan is completed.
isMultipleScan,Controls whether a QR code can be scanned multiple times for the same context.
featureBookingBuids,(Inferred) Defines specific Business Unit IDs (BUIDs) where Guard App feature booking is active.
featurePhoneEnabled,(Inferred) Controls the enablement of phone/dialer features within the Guard App interface.
smsTriggerTime,Defines the configured time at which SMS notifications are triggered.
scanInterval,Defines the minimum time interval required between consecutive scans.
neighbourSeatsRadius,Defines the radius within which a seat cannot be booked.
seatMetricsTimes,Defines configured time intervals used for calculating seat utilization and booking metrics.
enableQrCodeForSeatSanitize,Enables or disables QR code scanning for seat sanitization.
enableQrCodeForSeatManagement,Enables QR based validation for check in.
seatSanitizeCuttoffInMinute,Defines the seat sanitization cutoff time in minutes.
qrImageClientLogoUrl,Controls the URL of the client logo displayed on generated QR codes.
qrImagefooterUrl,Controls the URL of the footer image displayed on generated QR codes.
isCoreBuid,"Tells the Guard service which BUID is the ""primary"" (default) site for that Guard configuration block."
groupTypes,Defines the group types used for hierarchy setup.
isSummedFloorCapacity,"When enabled, the system calculates total seat capacity by summing floor capacities; when disabled, seat capacity can be manually defined."
env,Defines the environment to which the site is mapped.
forecastingColumns,Defines the set of data columns displayed in forecasting reports.
listOfIpsWithRange,Defines whitelisted IP addresses or IP ranges for office check-in restrictions.
FLOOR_VIEW,Controls the group type configuration for hierarchy setup on the floor plan.
maxTemperatureAllowed,Defines the maximum temperature threshold allowed for entry validation.
entryType,(Inferred) Defines the default physical entry categorization code logged during a guard scan.
minTemperatureAllowed,Defines the minimum temperature threshold allowed for entry validation.
isSendEmailOnHighTemperature,Sends email notifications to configured stakeholders when an employee's temperature meets or exceeds the maximum threshold during guard app check-in.
enableParkingCheckOutWithOfficeCheckOut,Controls whether parking checkout is automatically performed along with office checkout.
receiverEmailId,List of email IDs to which notifications or communication should be sent from the Guard App.
pmsEnabled,Controls whether the Property Management System (PMS) integration is enabled.
